pc_loc,hot_loc
"51.081839,-115.32956","50.8429257,-114.8487139"
"51.081839,-115.32956","50.858334,-114.7941598"
"51.081839,-115.32956","50.5224824,-114.8401684"
"51.081839,-115.32956","50.5209579,-114.7725981"
"51.081839,-115.32956","50.793767,-114.8556157"
"51.081839,-115.32956","50.8624904,-114.7936736"
"49.415316,-112.868525","49.0249688,-113.6857282"
"51.416895,-116.212982","51.2782396,-115.6372833"
"51.416895,-116.212982","51.0746763,-115.7789543"
"51.099515,-114.08365725","50.5209579,-114.7725981"
"53.389439,-117.590591","53.0586103,-118.1105986"
"53.389439,-117.590591","53.0107649,-118.0895734"
"51.190841,-114.493221","50.5969496,-114.9880251"
"51.190841,-114.493221","50.7980895,-114.8468122"
"51.190841,-114.493221","50.8627443,-114.7954559"
"51.190841,-114.493221","50.6352591,-115.0207181"
"51.190841,-114.493221","50.60375,-114.98474"
"51.190841,-114.493221","50.8429257,-114.8487139"
"51.190841,-114.493221","50.858334,-114.7941598"
"51.190841,-114.493221","50.5224824,-114.8401684"
"51.190841,-114.493221","50.5209579,-114.7725981"
"51.190841,-114.493221","50.793767,-114.8556157"
"51.190841,-114.493221","50.8624904,-114.7936736"
"50.93609575,-113.99271675","50.5969496,-114.9880251"
"50.93609575,-113.99271675","50.7980895,-114.8468122"
"50.93609575,-113.99271675","50.8627443,-114.7954559"
"50.93609575,-113.99271675","50.6352591,-115.0207181"
"50.93609575,-113.99271675","50.60375,-114.98474"
"50.93609575,-113.99271675","50.8429257,-114.8487139"
"50.93609575,-113.99271675","50.858334,-114.7941598"
"50.93609575,-113.99271675","50.5224824,-114.8401684"
"50.93609575,-113.99271675","50.5209579,-114.7725981"
"50.93609575,-113.99271675","50.793767,-114.8556157"
"50.93609575,-113.99271675","50.8624904,-114.7936736"
"53.389843,-117.609112","53.0586103,-118.1105986"
"53.389843,-117.609112","53.0107649,-118.0895734"
"53.389843,-117.609112","52.7500791,-118.1415868"
"51.085602,-113.94991","50.7980895,-114.8468122"
"51.085602,-113.94991","50.8627443,-114.7954559"
"51.085602,-113.94991","50.8429257,-114.8487139"
"51.085602,-113.94991","50.858334,-114.7941598"
"51.085602,-113.94991","50.793767,-114.8556157"
"51.085602,-113.94991","50.8624904,-114.7936736"
"51.185247,-114.295536","50.7980895,-114.8468122"
"51.185247,-114.295536","50.8627443,-114.7954559"
"51.185247,-114.295536","50.6352591,-115.0207181"
"51.185247,-114.295536","50.8429257,-114.8487139"
"51.185247,-114.295536","50.858334,-114.7941598"
"51.185247,-114.295536","50.793767,-114.8556157"
"51.185247,-114.295536","50.8624904,-114.7936736"
"50.580649,-113.872256","50.5969496,-114.9880251"
