locality_id,postal_code,cost_time,cost_driving,cost_total
L2568676,T2M0Y7,18.224941176470587,19.362000000000002,37.58694117647059
L2568676,T2M1J6,20.967529411764705,19.362000000000002,40.32952941176471
L2568676,T2M1Y4,24.00501960784314,19.362000000000002,43.36701960784314
L2568676,T2M2M5,21.055999999999997,19.362000000000002,40.418
L4760593,T2M0Z4,42.0241568627451,47.934,89.9581568627451
L4760593,T2M4K4,35.62917647058824,47.934,83.56317647058825
L4760593,T2M3X9,35.41835294117647,47.934,83.35235294117646
L4760593,T2M0W1,36.823843137254904,47.934,84.7578431372549
L4760593,T2M0E3,31.65866666666667,47.934,79.59266666666667
L4760593,T2M0Y7,43.429647058823534,47.934,91.36364705882353
L4760593,T2M1J6,49.96517647058824,47.934,97.89917647058823
L4760593,T2M1Y4,57.20345098039217,47.934,105.13745098039217
L4760593,T2M2M5,50.176,47.934,98.11
L4753559,T2M0Z4,55.53192156862745,60.16199999999999,115.69392156862745
L4753559,T2M4K4,47.081411764705884,60.16199999999999,107.24341176470588
L4753559,T2M3X9,46.80282352941177,60.16199999999999,106.96482352941176
L4753559,T2M0W1,48.66007843137255,60.16199999999999,108.82207843137255
L4753559,T2M0E3,41.834666666666664,60.16199999999999,101.99666666666666
L4753559,T2M0Y7,57.38917647058823,60.16199999999999,117.55117647058822
L4753559,T2M1J6,66.02541176470588,60.16199999999999,126.18741176470587
L4753559,T2M1Y4,75.59027450980392,60.16199999999999,135.7522745098039
L4753559,T2M2M5,66.304,60.16199999999999,126.466
L2582706,T2M0Z4,39.39764705882353,56.766,96.16364705882353
L2582706,T2M4K4,33.402352941176474,56.766,90.16835294117647
L2582706,T2M3X9,33.20470588235295,56.766,89.97070588235295
L2582706,T2M0W1,34.52235294117647,56.766,91.28835294117647
L2582706,T2M0E3,29.68,56.766,86.446
L2582706,T2M0Y7,40.715294117647055,56.766,97.48129411764705
L2582706,T2M1J6,46.84235294117647,56.766,103.60835294117646
L2582706,T2M1Y4,53.62823529411765,56.766,110.39423529411765
L2582706,T2M2M5,47.04,56.766,103.806
L4435039,T2M0Z4,31.893333333333334,39.918,71.81133333333334
L4435039,T2M4K4,27.04,39.918,66.958
L4435039,T2M3X9,26.88,39.918,66.798
L4435039,T2M0W1,27.946666666666662,39.918,67.86466666666666
L4435039,T2M0E3,24.026666666666664,39.918,63.94466666666666
L4435039,T2M0Y7,32.959999999999994,39.918,72.87799999999999
L4435039,T2M1J6,37.919999999999995,39.918,77.838
L4435039,T2M1Y4,43.413333333333334,39.918,83.33133333333333
L4435039,T2M2M5,38.08,39.918,77.99799999999999
L3814781,T2M0Z4,44.27545098039216,50.538000000000004,94.81345098039216
L3814781,T2M4K4,37.537882352941175,50.538000000000004,88.07588235294118
L3814781,T2M3X9,37.31576470588235,50.538000000000004,87.85376470588236
L3814781,T2M0W1,38.79654901960784,50.538000000000004,89.33454901960783
L3814781,T2M0E3,33.35466666666667,50.538000000000004,83.89266666666667
L3814781,T2M0Y7,45.756235294117644,50.538000000000004,96.29423529411764
L3814781,T2M1J6,52.641882352941174,50.538000000000004,103.17988235294118
L3814781,T2M1Y4,60.26792156862745,50.538000000000004,110.80592156862745
L3814781,T2M2M5,52.864,50.538000000000004,103.402
L2484149,T2M0Z4,39.772862745098045,52.866,92.63886274509804
L2484149,T2M4K4,33.720470588235294,52.866,86.5864705882353
L2484149,T2M3X9,33.52094117647059,52.866,86.3869411764706
L2484149,T2M0W1,34.85113725490196,52.866,87.71713725490196
L2484149,T2M0E3,29.962666666666667,52.866,82.82866666666666
L2484149,T2M0Y7,41.10305882352941,52.866,93.96905882352941
L2484149,T2M1J6,47.28847058823529,52.866,100.15447058823528
L2484149,T2M1Y4,54.13898039215687,52.866,107.00498039215687
L2484149,T2M2M5,47.488,52.866,100.354
L4457072,T2M0Z4,39.39764705882353,55.074000000000005,94.47164705882354
L4457072,T2M4K4,33.402352941176474,55.074000000000005,88.47635294117649
L4457072,T2M3X9,33.20470588235295,55.074000000000005,88.27870588235295
L4457072,T2M0W1,34.52235294117647,55.074000000000005,89.59635294117648
L4457072,T2M0E3,29.68,55.074000000000005,84.754
L4457072,T2M0Y7,40.715294117647055,55.074000000000005,95.78929411764706
L4457072,T2M1J6,46.84235294117647,55.074000000000005,101.91635294117648
L4457072,T2M1Y4,53.62823529411765,55.074000000000005,108.70223529411766
L4457072,T2M2M5,47.04,55.074000000000005,102.114
L2565698,T2M0Z4,40.148078431372554,59.861999999999995,100.01007843137255
L2565698,T2M4K4,34.03858823529412,59.861999999999995,93.90058823529412
L2565698,T2M3X9,33.83717647058824,59.861999999999995,93.69917647058824
L2565698,T2M0W1,35.17992156862745,59.861999999999995,95.04192156862744
L2565698,T2M0E3,30.245333333333335,59.861999999999995,90.10733333333333
L2565698,T2M0Y7,41.49082352941176,59.861999999999995,101.35282352941175
L2565698,T2M1J6,47.73458823529412,59.861999999999995,107.59658823529412
L2565698,T2M1Y4,54.64972549019608,59.861999999999995,114.51172549019608
L2565698,T2M2M5,47.936,59.861999999999995,107.798
L7467503,T2M0Z4,22.8881568627451,24.486,47.374156862745096
L7467503,T2M4K4,19.405176470588234,24.486,43.891176470588235
L7467503,T2M3X9,19.290352941176472,24.486,43.77635294117647
L7467503,T2M0W1,20.0558431372549,24.486,44.5418431372549
L7467503,T2M0E3,17.242666666666665,24.486,41.72866666666667
L7467503,T2M0Y7,23.653647058823527,24.486,48.13964705882353
L7467503,T2M1J6,27.213176470588234,24.486,51.699176470588235
L7467503,T2M1Y4,31.155450980392157,24.486,55.64145098039216
L7467503,T2M2M5,27.328,24.486,51.814
L4434776,T2M0Z4,28.141176470588235,33.714,61.85517647058823
L4434776,T2M4K4,23.858823529411765,33.714,57.572823529411764
L4434776,T2M3X9,23.71764705882353,33.714,57.43164705882353
L4434776,T2M0W1,24.658823529411762,33.714,58.37282352941176
L4434776,T2M0E3,21.2,33.714,54.914
L4434776,T2M0Y7,29.082352941176467,33.714,62.796352941176465
L4434776,T2M1J6,33.45882352941176,33.714,67.17282352941176
L4434776,T2M1Y4,38.30588235294118,33.714,72.01988235294118
L4434776,T2M2M5,33.599999999999994,33.714,67.314
L4382219,T2M0Z4,23.63858823529412,21.174,44.812588235294115
L4382219,T2M4K4,20.041411764705884,21.174,41.215411764705884
L4382219,T2M3X9,19.922823529411765,21.174,41.096823529411765
L4382219,T2M0W1,20.71341176470588,21.174,41.88741176470588
L4382219,T2M0E3,17.808,21.174,38.982
L4382219,T2M0Y7,24.429176470588235,21.174,45.60317647058824
L4382219,T2M1J6,28.10541176470588,21.174,49.279411764705884
L4382219,T2M1Y4,32.17694117647059,21.174,53.35094117647059
L4382219,T2M2M5,28.223999999999997,21.174,49.397999999999996
L3302399,T2M0Z4,35.645490196078434,48.108000000000004,83.75349019607845
L3302399,T2M4K4,30.221176470588233,48.108000000000004,78.32917647058824
L3302399,T2M3X9,30.04235294117647,48.108000000000004,78.15035294117648
L3302399,T2M0W1,31.234509803921565,48.108000000000004,79.34250980392157
L3302399,T2M0E3,26.85333333333333,48.108000000000004,74.96133333333333
L3302399,T2M0Y7,36.83764705882353,48.108000000000004,84.94564705882354
L3302399,T2M1J6,42.38117647058823,48.108000000000004,90.48917647058823
L3302399,T2M1Y4,48.52078431372549,48.108000000000004,96.6287843137255
L3302399,T2M2M5,42.559999999999995,48.108000000000004,90.668
L4457075,T2M0Z4,32.643764705882354,40.806000000000004,73.44976470588236
L4457075,T2M4K4,27.676235294117646,40.806000000000004,68.48223529411766
L4457075,T2M3X9,27.512470588235296,40.806000000000004,68.3184705882353
L4457075,T2M0W1,28.604235294117643,40.806000000000004,69.41023529411765
L4457075,T2M0E3,24.592,40.806000000000004,65.398
L4457075,T2M0Y7,33.7355294117647,40.806000000000004,74.54152941176471
L4457075,T2M1J6,38.81223529411764,40.806000000000004,79.61823529411765
L4457075,T2M1Y4,44.434823529411766,40.806000000000004,85.24082352941177
L4457075,T2M2M5,38.976,40.806000000000004,79.78200000000001
L4655488,T2M0Z4,21.762509803921567,28.008,49.77050980392157
L4655488,T2M4K4,18.450823529411764,28.008,46.45882352941176
L4655488,T2M3X9,18.34164705882353,28.008,46.34964705882353
L4655488,T2M0W1,19.06949019607843,28.008,47.07749019607843
L4655488,T2M0E3,16.394666666666666,28.008,44.40266666666666
L4655488,T2M0Y7,22.490352941176468,28.008,50.498352941176464
L4655488,T2M1J6,25.87482352941176,28.008,53.88282352941176
L4655488,T2M1Y4,29.62321568627451,28.008,57.63121568627451
L4655488,T2M2M5,25.983999999999998,28.008,53.992
L3242568,T2M0Z4,21.762509803921567,23.718,45.480509803921564
L3242568,T2M4K4,18.450823529411764,23.718,42.16882352941177
L3242568,T2M3X9,18.34164705882353,23.718,42.05964705882353
L3242568,T2M0W1,19.06949019607843,23.718,42.78749019607843
L3242568,T2M0E3,16.394666666666666,23.718,40.11266666666667
L3242568,T2M0Y7,22.490352941176468,23.718,46.20835294117647
L3242568,T2M1J6,25.87482352941176,23.718,49.59282352941176
L3242568,T2M1Y4,29.62321568627451,23.718,53.34121568627451
L3242568,T2M2M5,25.983999999999998,23.718,49.702
L2894289,T2M0Z4,30.017254901960786,36.3,66.31725490196078
L2894289,T2M4K4,25.449411764705886,36.3,61.74941176470588
L2894289,T2M3X9,25.298823529411766,36.3,61.59882352941176
L2894289,T2M0W1,26.302745098039214,36.3,62.60274509803921
L2894289,T2M0E3,22.613333333333333,36.3,58.91333333333333
L2894289,T2M0Y7,31.021176470588234,36.3,67.32117647058823
L2894289,T2M1J6,35.68941176470588,36.3,71.98941176470588
L2894289,T2M1Y4,40.85960784313726,36.3,77.15960784313725
